FPL ALL PLAYERS
=================================================================================================================================================
Updated: 2026-08-24 16:05:31
Total players: 609

PLAYER                      TEAM                     POS   PRICE    PTS    BONUS   BPS     DC      xG       xA       xGI      G     A     MIN     OWN      
Liam Delap                  Chelsea                  FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.5%     
Marc Guiu Paz               Chelsea                  FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.5%     
Nicolas Jackson             Chelsea                  FWD   £6.5m    0      0       0       0       0        0        0        0     0     0       0.4%     
Shumaira Mheuka             Chelsea                  FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.4%     
Ben Wilson                  Coventry City            GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.5%     
Carl Rushworth              Coventry City            GK    £4.5m    1      0       0       0       0        0.01     0.01     0     0     90      1.2%     
Oliver Dovin                Coventry City            GK    £4.0m    0      0       0       0       0        0        0        0     0     0       1.6%     
Aurèle Amenda               Coventry City            DEF   £4.0m    1      0       1       9       0        0.01     0.01     0     0     90      0.9%     
Bobby Thomas                Coventry City            DEF   £4.0m    3      0       11      10      0.02     0.01     0.03     0     0     90      8.0%     
Jake Bidwell                Coventry City            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Jay Dasilva                 Coventry City            DEF   £4.0m    1      0       -4      6       0        0.02     0.02     0     0     90      0.9%     
Joel Latibeaudiere          Coventry City            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kaine Kesler-Hayden         Coventry City            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Liam Kitching               Coventry City            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.7%     
Luke Woolfenden             Coventry City            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.2%     
Miguel Brau                 Coventry City            DEF   £4.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Milan van Ewijk             Coventry City            DEF   £4.0m    1      0       -8      7       0        0.01     0.01     0     0     90      13.6%    
Caleb Yirenkyi              Coventry City            MID   £5.0m    1      0       2       3       0        0        0        0     0     61      0.3%     
Ephron Mason-Clark          Coventry City            MID   £5.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Frank Onyeka                Coventry City            MID   £5.0m    2      0       8       9       0        0.01     0.01     0     0     90      0.2%     
George Shepherd             Coventry City            MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.3%     
Gustavo Hamer               Coventry City            MID   £5.5m    1      0       3       1       0        0        0        0     0     8       0.2%     
Jack Rudoni                 Coventry City            MID   £5.0m    1      0       3       5       0.15     0        0.15     0     0     20      0.1%     
Josh Eccles                 Coventry City            MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Kaine Andrews               Coventry City            MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.7%     
Loum Tchaouna               Coventry City            MID   £5.5m    2      0       11      8       0.04     0.02     0.06     0     0     81      0.2%     
Matt Grimes                 Coventry City            MID   £5.0m    2      0       14      7       0        0.01     0.01     0     0     90      0.2%     
Raphael Borges Rodrigues    Coventry City            MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Tatsuhiro Sakamoto          Coventry City            MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Victor Torp                 Coventry City            MID   £5.5m    1      0       8       1       0        0.11     0.11     0     0     28      0.2%     
Brandon Thomas-Asante       Coventry City            FWD   £5.0m    2      0       9       6       0        0.02     0.02     0     0     69      0.8%     
Ellis Simms                 Coventry City            FWD   £5.0m    2      0       7       3       0        0.01     0.01     0     0     69      0.9%     
Haji Wright                 Coventry City            FWD   £5.5m    0      0       0       0       0        0        0        0     0     0       0.2%     
Jahnoah Markelo             Coventry City            FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Norman Bassette             Coventry City            FWD   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Sidiki Cherif               Coventry City            FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Taiwo Awoniyi               Coventry City            FWD   £5.5m    1      0       4       1       0        0        0        0     0     20      0.8%     
Dean Henderson              Crystal Palace           GK    £5.0m    2      0       14      0       0        0        0        0     0     90      1.9%     
Remi Matthews               Crystal Palace           GK    £4.0m    0      0       0       0       0        0        0        0     0     0       1.8%     
Walter Benítez              Crystal Palace           GK    £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Anan Khalaili               Crystal Palace           DEF   £5.0m    1      0       12      9       0        0.16     0.16     0     0     35      0.1%     
Borna Sosa                  Crystal Palace           DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Chadi Riad Dnanou           Crystal Palace           DEF   £4.5m    1      0       7       7       0        0.01     0.01     0     0     72      0.1%     
Chris Richards              Crystal Palace           DEF   £5.0m    3      0       13      16      0        0        0        0     0     90      0.8%     
Daniel Muñoz Mejía          Crystal Palace           DEF   £5.5m    0      0       -4      4       0.23     0.01     0.24     0     0     54      9.4%     
Jaydee Canvot               Crystal Palace           DEF   £5.0m    1      0       9       8       0.05     0.01     0.06     0     0     90      0.3%     
Oscar Mingueza              Crystal Palace           DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Rio Cardines                Crystal Palace           DEF   £4.5m    0      0       0       0       0        0        0        0     0     0       0.0%     
Takehiro Tomiyasu           Crystal Palace           DEF   £4.5m    1      0       3       1       0        0.01     0.01     0     0     18      0.4%     
Tyrick Mitchell             Crystal Palace           DEF   £4.5m    1      0       9       5       0        0.01     0.01     0     0     90      6.1%     
Adam Wharton                Crystal Palace           MID   £5.5m    4      0       20      14      0        0.24     0.24     0     0     90      0.9%     
Cheick Doucouré             Crystal Palace           MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Daichi Kamada               Crystal Palace           MID   £5.0m    3      0       25      14      0        0.27     0.27     0     0     90      0.3%     
Dwight McNeil               Crystal Palace           MID   £5.5m    2      0       11      5       0.05     0.02     0.07     0     0     62      0.2%     
Evann Guessand              Crystal Palace           MID   £5.5m    1      0       3       1       0.03     0.02     0.05     0     0     27      0.0%     
Ismaïla Sarr                Crystal Palace           MID   £6.5m    0      0       0       0       0        0        0        0     0     0       4.0%     
Jefferson Lerma Solís       Crystal Palace           MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.1%     
Jesurun Rak-Sakyi           Crystal Palace           MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Joél Drakes-Thomas          Crystal Palace           MID   £4.5m    0      0       0       0       0        0        0        0     0     0       0.1%     
Justin Devenny              Crystal Palace           MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Matheus França de Oliveira  Crystal Palace           MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Romain Esse                 Crystal Palace           MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Will Hughes                 Crystal Palace           MID   £4.5m    0      0       0       0       0        0        0        0     0     0       11.7%    
Yéremy Pino Santos          Crystal Palace           MID   £5.5m    1      0       4       5       0.06     0.02     0.08     0     0     35      0.2%     
Zavier Gozo                 Crystal Palace           MID   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Christantus Uche            Crystal Palace           FWD   £5.0m    0      0       0       0       0        0        0        0     0     0       0.0%     
Eddie Nketiah               Crystal Palace           FWD   £5.5m    1      0       12      3       0.60     0.58     1.18     0     0     55      0.5%     
Jean-Philippe Mateta        Crystal Palace           FWD   £6.5m    2      0       -3      5       0.70     0.02     0.72     0     0     62      5.7%     
Jørgen Strand Larsen        Crystal Palace           FWD   £6.0m    1      0       3       0       0.25     0.01     0.26     0     0     27      0.6%     
